Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2024-12-02,4:00pm,USD,High,ISM Manufacturing PMI,48.4,47.7,46.5
2024-12-03,4:00pm,USD,High,JOLTS Job Openings,7.74M,7.51M,7.37M
2024-12-04,2:15pm,USD,High,ADP Non-Farm Employment Change,146K,152K,184K
2024-12-04,4:00pm,USD,High,ISM Services PMI,52.1,55.7,56.0
2024-12-05,2:30pm,USD,High,Unemployment Claims,224K,215K,215K
2024-12-06,2:30pm,USD,High,Average Hourly Earnings m/m,0.4%,0.3%,0.4%
2024-12-06,2:30pm,USD,High,Non-Farm Employment Change,227K,218K,36K
2024-12-06,2:30pm,USD,High,Unemployment Rate,4.2%,4.1%,4.1%
2024-12-11,2:30pm,USD,High,Core CPI m/m,0.3%,0.3%,0.3%
2024-12-11,2:30pm,USD,High,CPI m/m,0.3%,0.3%,0.2%
2024-12-11,2:30pm,USD,High,CPI y/y,2.7%,2.7%,2.6%
2024-12-12,2:30pm,USD,High,Core PPI m/m,0.2%,0.2%,0.3%
2024-12-12,2:30pm,USD,High,PPI m/m,0.4%,0.2%,0.3%
2024-12-12,2:30pm,USD,High,Unemployment Claims,242K,221K,225K
2024-12-16,3:45pm,USD,High,Flash Manufacturing PMI,48.3,49.4,49.7
2024-12-16,3:45pm,USD,High,Flash Services PMI,58.5,55.7,56.1
2024-12-17,2:30pm,USD,High,Core Retail Sales m/m,0.2%,0.4%,0.2%
2024-12-17,2:30pm,USD,High,Retail Sales m/m,0.7%,0.6%,0.5%
2024-12-18,8:00pm,USD,High,Federal Funds Rate,4.50%,4.50%,4.75%
2024-12-19,2:30pm,USD,High,Final GDP q/q,3.1%,2.8%,2.8%
2024-12-19,2:30pm,USD,High,Unemployment Claims,220K,229K,242K
2024-12-20,2:30pm,USD,High,Core PCE Price Index m/m,0.1%,0.2%,0.3%
2024-12-26,2:30pm,USD,High,Unemployment Claims,219K,223K,220K
2025-01-02,2:30pm,USD,High,Unemployment Claims,211K,222K,220K
2025-01-03,4:00pm,USD,High,ISM Manufacturing PMI,49.3,48.2,48.4
