Time,Currency,Impact,Event,Actual,Forecast,Previous
10:45pm,NZD,Medium,Building Consents m/m,-5.2%,,2.4%
12:50am,JPY,Medium,Capital Spending q/y,8.1%,6.7%,7.4%
1:00am,AUD,Medium,MI Inflation Gauge m/m,0.2%,,0.3%
1:30am,AUD,N/A,Retail Sales m/m,0.6%,0.4%,0.1%
2:45am,CNY,Medium,Caixin Manufacturing PMI,51.5,50.6,50.3
6:30am,AUD,Medium,Commodity Prices y/y,-11.8%,,-9.3%
8:00am,GBP,Medium,Nationwide HPI m/m,1.2%,0.2%,0.1%
8:30am,CHF,Medium,Retail Sales y/y,1.4%,2.6%,1.8%
9:15am,EUR,Medium,Spanish Manufacturing PMI,53.1,53.9,54.5
9:30am,CHF,Medium,Manufacturing PMI,48.5,49.6,49.9
9:45am,EUR,Medium,Italian Manufacturing PMI,44.5,46.1,46.9
9:50am,EUR,Medium,French Final Manufacturing PMI,43.1,43.3,43.2
9:55am,EUR,Medium,German Final Manufacturing PMI,43.0,43.2,43.2
10:00am,EUR,Medium,Final Manufacturing PMI,45.2,45.2,45.2
10:30am,GBP,Medium,Final Manufacturing PMI,48.0,48.6,48.6
11:00am,EUR,Medium,Unemployment Rate,6.3%,6.3%,6.3%
3:30pm,CAD,Medium,Manufacturing PMI,52.0,,51.1
3:45pm,USD,N/A,Final Manufacturing PMI,49.7,48.8,48.8
4:00pm,USD,High,ISM Manufacturing PMI,48.4,47.7,46.5
9:15pm,USD,N/A,FOMC Member Waller Speaks,,,
10:30pm,USD,Medium,FOMC Member Williams Speaks,,,
10:45pm,NZD,Medium,Overseas Trade Index q/q,2.4%,1.2%,2.1%
12:50am,JPY,Medium,Monetary Base y/y,-0.3%,0.2%,-0.3%
1:01am,GBP,Medium,BRC Retail Sales Monitor y/y,-3.4%,0.7%,0.3%
1:30am,AUD,Medium,Current Account,-14.1B,-10.3B,-16.4B
4:35am,JPY,Medium,10-y Bond Auction,1.08|3.1,,1.00|3.1
8:30am,CHF,High,CPI m/m,-0.1%,-0.1%,-0.1%
9:00am,EUR,Medium,Spanish Unemployment Change,-16.0K,29.3K,26.8K
3:44pm,NZD,Medium,GDT Price Index,1.2%,,1.9%
4:00pm,USD,High,JOLTS Job Openings,7.74M,7.51M,7.37M
4:06pm,USD,Medium,RCM/TIPP Economic Optimism,54.0,54.1,53.2
All Day,USD,Medium,Wards Total Vehicle Sales,16.5M,16.0M,16.0M
4:52pm,EUR,Medium,French Gov Budget Balance,-157.4B,,-173.8B
6:35pm,USD,Medium,FOMC Member Kugler Speaks,,,
9:45pm,USD,Medium,FOMC Member Goolsbee Speaks,,,
1:00am,NZD,Medium,ANZ Commodity Prices m/m,2.9%,,1.4%
1:30am,AUD,High,GDP q/q,0.3%,0.5%,0.2%
2:00am,NZD,N/A,RBNZ Gov Orr Speaks,,,
2:45am,CNY,Medium,Caixin Services PMI,51.5,52.4,52.0
9:15am,EUR,Medium,Spanish Services PMI,53.1,53.4,54.9
9:45am,EUR,Medium,Italian Services PMI,49.2,50.9,52.4
9:50am,EUR,Medium,French Final Services PMI,46.9,45.7,45.7
9:55am,EUR,Medium,German Final Services PMI,49.3,49.4,49.4
10:00am,EUR,Medium,Final Services PMI,49.5,49.2,49.2
10:30am,GBP,Medium,Final Services PMI,50.8,50.0,50.0
11:00am,EUR,Medium,PPI m/m,0.4%,0.4%,-0.6%
11:33am,EUR,Medium,German 10-y Bond Auction,2.07|2.4,,2.38|2.3
2:15pm,USD,High,ADP Non-Farm Employment Change,146K,152K,184K
2:30pm,CAD,Medium,Labor Productivity q/q,-0.4%,-0.2%,-0.1%
2:45pm,USD,Medium,FOMC Member Musalem Speaks,,,
3:45pm,USD,N/A,Final Services PMI,56.1,57.0,57.0
4:00pm,USD,High,ISM Services PMI,52.1,55.7,56.0
4:30pm,USD,N/A,Crude Oil Inventories,-5.1M,-1.6M,-1.8M
6:10pm,EUR,Medium,German Buba President Nagel Speaks,,,
7:45pm,USD,High,Fed Chair Powell Speaks,,,
8:00pm,USD,Medium,Beige Book,,,
1:30am,AUD,Medium,Goods Trade Balance,5.95B,4.53B,4.53B
4:35am,JPY,Medium,30-y Bond Auction,2.29|3.5,,2.27|3.4
7:45am,CHF,Medium,Unemployment Rate,2.6%,2.7%,2.6%
8:00am,EUR,Medium,German Factory Orders m/m,-1.5%,-2.0%,7.2%
8:45am,EUR,Medium,French Industrial Production m/m,-0.1%,0.2%,-0.8%
10:30am,GBP,N/A,Construction PMI,55.2,53.5,54.3
10:37am,EUR,Medium,Spanish 10-y Bond Auction,2.74|2.6,,2.92|1.7
11:00am,EUR,Medium,Retail Sales m/m,-0.5%,-0.3%,0.5%
All Day,All,N/A,OPEC-JMMC Meetings,,,
1:30pm,USD,Medium,Challenger Job Cuts y/y,26.8%,,50.9%
2:30pm,CAD,Medium,Trade Balance,-0.9B,-1.0B,-1.3B
4:30pm,USD,Medium,Natural Gas Storage,-30B,-38B,-2B
6:00pm,GBP,Medium,MPC Member Greene Speaks,,,
12:30am,JPY,Medium,Average Cash Earnings y/y,2.6%,2.6%,2.5%
6:00am,JPY,Medium,Leading Indicators,108.6%,108.9%,109.1%
8:00am,EUR,Medium,German Industrial Production m/m,-1.0%,1.0%,-2.0%
